id;title;price;desc;link
1;ИСКАТЕЛЬ;17000 ₽;+ Доступ ко всем урокам на год + База знаний + Общий чат единомышленников + Самостоятельная практика;https://rbksa.ru/b/fBEdYnVFSkajJJl6wD_JPQ
2;ХРАНИТЕЛЬ;46000 ₽;То же что в ИСКАТЕЛЬ и: + Книга PDF с NFT Ловушка Суверена в подарок + 3 личные консультации + шаблоны гербов и бланков + закрытый чат ХРАНИТЕЛЕЙ;https://rbksa.ru/b/2AsNVhLD30GkEDKw59BDBg
3;ТВОРЕЦ;155 000 ₽;То же что в ХРАНИТЕЛЬ и: + Личное ведение Ники Алексеевой + Герб + модуль NFT + Модуль «Зеркало Памяти Рода» из трех сессий «Зов Первопредка», «Нить Благословения», «Триумф Наследия».;https://rbksa.ru/b/dXTSAlDaQ0WAzWxHSzJNBg
